"x","predicted","std.error","conf.low","conf.high","response.level","group","facet","ubedmean","Zone","Cross_shelf"
0.054390497,0.53116252255318,0.0545792168405982,0.424189223241206,0.638135821865155,"1","offshore","S",0.054390497,"S","offshore"
0.054390497,0.167109537326352,0.0114443710450049,0.144678982252429,0.189540092400274,"2","offshore","S",0.054390497,"S","offshore"
0.054390497,0.112697992644392,0.0136495867255019,0.0859452942585522,0.139450691030231,"3","offshore","S",0.054390497,"S","offshore"
0.054390497,0.153608179199123,0.0282835847366065,0.0981733717616871,0.209042986636558,"4","offshore","S",0.054390497,"S","offshore"
0.054390497,0.0308920086134941,0.00858335619784059,0.0140689395992479,0.0477150776277403,"5","offshore","S",0.054390497,"S","offshore"
0.054390497,0.0045297596634597,0.00192019120323326,0.00076625406169188,0.00829326526522752,"6","offshore","S",0.054390497,"S","offshore"
0.054390497,0.481141210536327,0.0808084554234009,0.322759548260151,0.639522872812503,"1","offshore","D",0.054390497,"D","offshore"
0.054390497,0.18133984137436,0.0107079267414514,0.160352690612021,0.202326992136698,"2","offshore","D",0.054390497,"D","offshore"
0.054390497,0.127893377351786,0.0194873729680147,0.0896988281811775,0.166087926522394,"3","offshore","D",0.054390497,"D","offshore"
0.054390497,0.171670808179822,0.0467292302505474,0.0800831998634695,0.263258416496175,"4","offshore","D",0.054390497,"D","offshore"
0.054390497,0.0331498760488331,0.0129286383092222,0.00781021059361274,0.0584895415040535,"5","offshore","D",0.054390497,"D","offshore"
0.054390497,0.00480488650887223,0.00245801833206022,-1.27408953050061e-05,0.00962251391304947,"6","offshore","D",0.054390497,"D","offshore"
0.054390497,0.614518010087543,0.0626483060799084,0.491729586478481,0.737306433696605,"1","inshore","S",0.054390497,"S","inshore"
0.054390497,0.153606611435911,0.0151205567497526,0.123970864780201,0.18324235809162,"2","inshore","S",0.054390497,"S","inshore"
0.054390497,0.0941019578979623,0.0159435385719281,0.0628531965108582,0.125350719285066,"3","inshore","S",0.054390497,"S","inshore"
0.054390497,0.114054619589544,0.0281786874543936,0.0588254070473215,0.169283832131766,"4","inshore","S",0.054390497,"S","inshore"
0.054390497,0.0207426526138694,0.00703914433162423,0.00694618324190668,0.0345391219858322,"5","inshore","S",0.054390497,"S","inshore"
0.054390497,0.00297614837517124,0.00139122173042043,0.000249403889037711,0.00570289286130477,"6","inshore","S",0.054390497,"S","inshore"
0.054390497,0.479141442268426,0.0794031466235308,0.323514134627153,0.634768749909699,"1","inshore","D",0.054390497,"D","inshore"
0.054390497,0.181417776959924,0.0105332841693752,0.160772919349023,0.202062634570825,"2","inshore","D",0.054390497,"D","inshore"
0.054390497,0.128324563039104,0.018885750340653,0.0913091725504093,0.165339953527799,"3","inshore","D",0.054390497,"D","inshore"
0.054390497,0.172811157203804,0.04647117364148,0.0817293305471959,0.263892983860412,"4","inshore","D",0.054390497,"D","inshore"
0.054390497,0.033453690931362,0.0131058714843012,0.00776665483612113,0.0591407270266029,"5","inshore","D",0.054390497,"D","inshore"
0.054390497,0.0048513695973802,0.00249181298890312,-3.2494117079015e-05,0.0097352333118394,"6","inshore","D",0.054390497,"D","inshore"
0.0607040801020408,0.530505256945521,0.0530746728453405,0.426480809677407,0.634529704213634,"1","offshore","S",0.0607040801020408,"S","offshore"
0.0607040801020408,0.167187012640668,0.0113279133918525,0.144984710372648,0.189389314908688,"2","offshore","S",0.0607040801020408,"S","offshore"
0.0607040801020408,0.112833733401808,0.0133855551044467,0.086598527484016,0.1390689393196,"3","offshore","S",0.0607040801020408,"S","offshore"
0.0607040801020408,0.153942770334263,0.027565219471785,0.0999159329436217,0.207969607724903,"4","offshore","S",0.0607040801020408,"S","offshore"
0.0607040801020408,0.0309866607176134,0.00841004339974899,0.0145032785456866,0.0474700428895402,"5","offshore","S",0.0607040801020408,"S","offshore"
0.0607040801020408,0.00454456596012764,0.00190489955131751,0.000811031445378823,0.00827810047487647,"6","offshore","S",0.0607040801020408,"S","offshore"
0.0607040801020408,0.482686383600044,0.0773629609331927,0.331057766433607,0.634315000766481,"1","offshore","D",0.0607040801020408,"D","offshore"
